,cat,concept,typicality
412,6,399,4.5266142067571495
413,6,404,4.0372338362346
414,6,433,6.914670533017101
415,6,460,6.63775688723305
416,6,497,3.5227123295787672
417,6,516,6.170214006243976
418,6,519,4.75864935802231
419,6,529,5.636199429104524
420,6,533,5.848158690899362
421,6,535,3.704396464006257
422,6,585,5.545818272523163
423,6,601,5.00890761026893
424,6,612,6.047016441722016
425,6,631,3.390146624905995
426,6,677,5.529159706169194
427,6,685,4.604404677577787
428,6,758,4.213912081118801
429,6,790,4.436160276424542
430,6,802,3.788591996085983
431,6,804,5.0201536697056595
432,6,830,3.6895392439601373
433,6,840,7.258920132467724
434,6,853,6.814753282460508
435,6,866,5.220110336088154
436,6,868,5.347410252484997
437,6,941,5.36785976658745
438,6,948,5.512607176414983
439,6,950,6.836433082235863
440,6,960,5.599360895202503
441,6,984,4.39024839038131
442,6,986,6.155739491473286
443,6,1012,2.43453028321581
444,6,1036,5.959533336821347
445,6,1059,3.7523146596452746
446,6,1073,4.554287084270956
447,6,1103,5.373514732136529
448,6,1113,6.028919957289755
449,6,1159,3.4319995103542946
450,6,1172,5.561532721605324
451,6,1175,5.677763914985355
452,6,1190,6.9763046430692315
453,6,1205,4.5309343978131595
454,6,1230,6.958606001807046
455,6,1259,6.050523211771916
456,6,1350,4.762993757906826
457,6,1353,3.6640721191926713
458,6,1358,2.7746510566676297
459,6,1408,4.789277382047217
460,6,1427,6.171536316434016
461,6,1428,4.983859647578518
462,6,1581,6.101138291415129
463,6,1596,3.7571027435151043
464,6,1604,4.107095723911526
465,6,1621,5.6362843215773175
466,6,1633,5.021313878298448
467,6,1634,5.273964456282755
468,6,1643,3.182638914942162
469,6,1644,3.8577761097029386
470,6,1645,4.404283197422827
471,6,1647,6.532746872772828
472,6,1677,6.291581956824925
473,6,1704,7.1753713497804075
474,6,1722,6.048951890519097
475,6,1729,7.59860671821649
476,6,1749,5.104261677340301
477,6,1753,6.41192572424019
478,6,1760,5.4076932218244895
479,6,1776,4.542624724390874
480,6,1787,7.622375461776376
481,6,1791,3.8061814584517224
482,6,1792,5.878162996669805
483,6,1807,4.295961063818557
484,6,1824,5.6466453600245625
485,6,1825,4.702230097041664
486,6,1826,5.423573262449961
487,6,1830,3.9413932579429116
488,7,57,4.954933063837576
489,7,65,7.073768515128921
