,Unnamed: 0,0,1,2,cr,bigcat,cat_name,human_typ,radius,within_cat_distance_raw,within_cat_distance,between_cat_distance,between_cat_distance_eu,between_cat_distance_resid
0,0,-8.362255515378733,5.4478279871989175,-8.557188117776477,0.7797390820360361,1,animal,4.87435226758206,13.14654386390601,-5.591425396489356,-5.591425396489356,34.78932658123702,16.1103524092506,0.7563645800140009
1,1,-26.123589946638283,12.240625137810548,0.5189386379163361,0.7984847327250593,13,home decor,6.37455507181896,28.853841213509558,2.428792556507119,2.428792556507119,47.79661501193674,9.237682859418285,0.3165323897620169
2,2,-24.38515202707241,14.180848605462566,0.6937999932560833,0.7528452093783106,18,musical instrument,5.342845892356779,28.217254738636882,4.4813031960823935,4.4813031960823935,47.09716272590796,8.593136196835882,0.16206597385146182
3,3,-25.107905845756328,9.416655706014428,-2.8465097425262105,0.7618513406522875,99,other,4.655668531580393,26.966330086967258,1.574352558825808,1.574352558825808,45.29644021549024,9.014193748058748,-0.5677317107146607
4,4,-20.330698795224524,11.947784598659291,-4.992441888715209,0.7944662057985066,9,electronic device,5.28888605838626,24.104176947788577,0.6003604053943974,0.6003604053943974,43.066686243993516,7.206292713706783,-0.347177545710565
5,5,-24.49304667067029,16.66165187538943,-4.482669969050599,0.805999844651182,12,furniture,6.013500985445796,29.960212090032492,3.47374065198413,3.47374065198413,48.88789381099614,9.55267472194301,0.46063980109141056
6,6,-18.220271148594115,11.75865169898263,4.865082593484426,0.7251907697869563,23,tool,5.90325632300001,22.22415800762097,-0.9715331526215607,-0.9715331526215607,42.17875423811537,9.722760234463015,0.3743870343243074
7,7,-25.589538677067058,16.57996333888458,-2.877280668382709,0.7951560114950681,20,part of car,2.975798193492376,30.62675983626927,6.6194342814778295,6.6194342814778295,49.37693376030823,9.742763827152565,0.37904383871398295
8,8,-25.430576839717563,16.04359637462635,-3.4720974425230584,0.7435045885816449,26,vehicle,5.91208449606644,30.268245467537067,6.2454662147081805,6.2454662147081805,49.059868323161105,9.500112257395928,0.36890491179860163
9,9,-20.43071449618123,12.278642396424427,-4.958613324016195,0.7626539564322118,26,vehicle,7.784419620577442,24.34680677256983,1.2091763533808049,1.2091763533808049,43.33668625779958,7.243576338116218,-0.2848945214957368
10,10,-19.4733199405063,12.821208853765636,-2.9339875154582318,0.7905644443789653,26,vehicle,5.787896672572345,23.49897590785742,-0.21877923696136037,-0.21877923696136037,42.38300446173452,6.890603633279844,-0.5127427352328056
11,11,-27.37523000020172,13.224777459277748,-7.74553103629821,0.6915167869055066,13,home decor,5.535304310137316,31.37341561649965,5.360797115120285,5.360797115120285,50.48622921107682,11.285740814600286,0.8491223627499664
12,12,-15.663628568147532,10.767100203559382,-10.859224770467756,0.8363870150806295,1,animal,4.243660066884402,21.890693669454983,1.7528971813465972,1.7528971813465972,42.93143839556761,12.062716366922995,1.412552206001891
13,13,-21.10071496821033,4.721475508840562,-4.121395288269206,0.820347729377413,10,food,7.419739392539958,22.011778716687218,1.8906165886187551,1.8906165886187551,42.57388180222805,9.910635781969336,0.9513339069414215
14,14,-21.884741180920564,12.227547618432972,-6.412699390531465,0.7518986941243039,21,plant,5.785437630583491,25.87619621950353,-0.8952962764063273,-0.8952962764063273,45.002352936501225,7.998413773727915,0.07145178772509553
15,15,-11.753431900713808,8.27597201924932,-8.685709889523626,0.8132426873349942,1,animal,4.229243429084865,16.795131157364718,-3.268689970892087,-3.268689970892087,37.93382651938354,13.006917699092611,0.7772849271464537
